,0,1,2,3,4,5,6
300,french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt,
301,burgers,fresh tuna,spaghetti,muffins,honey,,
302,herb & pepper,ground beef,spaghetti,eggs,chicken,,
303,grated cheese,muffins,tomato juice,mayonnaise,,,
304,whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink
305,burgers,spaghetti,soup,milk,olive oil,salmon,eggs
306,chocolate,champagne,magazines,,,,
307,frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice
308,tomato sauce,chocolate,,,,,
309,milk,eggs,,,,,
310,pet food,,,,,,
311,yogurt cake,,,,,,
312,green tea,,,,,,
313,escalope,pasta,,,,,
314,herb & pepper,ground beef,,,,,
315,mineral water,honey,brownies,,,,
316,turkey,eggs,cake,energy drink,,,
317,turkey,burgers,dessert wine,ground beef,soup,salmon,eggs
318,spaghetti,mineral water,chicken,,,,
319,turkey,ground beef,carrots,french fries,melons,,
320,mineral water,eggs,low fat yogurt,,,,
321,turkey,cooking oil,shampoo,,,,
322,spaghetti,hot dogs,,,,,
323,chocolate,green tea,,,,,
324,grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato
325,chocolate,,,,,,
326,spaghetti,olive oil,strong cheese,pancakes,,,
327,red wine,mineral water,soup,rice,cookies,,
328,red wine,shrimp,spaghetti,,,,
329,green tea,,,,,,
330,mineral water,chicken,french fries,frozen smoothie,,,
331,muffins,,,,,,
332,cake,chocolate,,,,,
333,fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil
334,turkey,french fries,,,,,
335,burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream
336,escalope,,,,,,
337,chocolate,escalope,fresh bread,,,,
338,ham,spaghetti,french wine,vegetables mix,chocolate,french fries,
339,avocado,light mayo,,,,,
340,spaghetti,yams,butter,chocolate,,,
341,energy bar,eggs,french fries,,,,
342,fresh tuna,barbecue sauce,eggplant,,,,
343,energy drink,,,,,,
344,whole wheat rice,french fries,hot dogs,green tea,,,
345,mineral water,chicken,green tea,,,,
346,eggs,cake,mushroom cream sauce,,,,
347,escalope,,,,,,
348,antioxydant juice,escalope,,,,,
349,shrimp,spaghetti,french fries,,,,
350,grated cheese,spaghetti,salmon,tomato juice,,,
351,spaghetti,green tea,,,,,
352,champagne,protein bar,,,,,
353,mineral water,avocado,chocolate,,,,
354,tomatoes,champagne,green tea,,,,
355,chicken,french fries,escalope,,,,
356,frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo,
357,ground beef,chicken,cider,green grapes,honey,chocolate,french fries
358,french fries,champagne,,,,,
359,mineral water,soup,,,,,
360,frozen vegetables,spaghetti,milk,chocolate,babies food,,
361,honey,whole wheat rice,,,,,
362,whole wheat rice,chicken,tomato juice,,,,
363,pancakes,,,,,,
364,green tea,protein bar,tomato juice,candy bars,,,
365,french fries,,,,,,
366,mineral water,,,,,,
367,escalope,,,,,,
368,grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk
369,spaghetti,milk,,,,,
370,milk,chocolate,white wine,,,,
371,sandwich,,,,,,
372,chocolate,light mayo,,,,,
373,shrimp,whole wheat pasta,spaghetti,meatballs,chicken,frozen smoothie,tomato juice
374,red wine,ground beef,spaghetti,mineral water,eggs,,
375,yams,melons,,,,,
376,spaghetti,cooking oil,,,,,
377,french fries,,,,,,
378,mineral water,milk,spinach,cooking oil,chocolate,frozen smoothie,hot dogs
379,tomato sauce,milk,,,,,
380,shrimp,cider,eggs,french fries,,,
381,champagne,,,,,,
382,salad,,,,,,
383,french fries,,,,,,
384,frozen vegetables,mineral water,energy bar,honey,rice,green tea,
385,french fries,salad,,,,,
386,honey,chocolate,french fries,brownies,,,
387,green tea,strawberries,gluten free bar,,,,
388,frozen vegetables,ground beef,mineral water,salmon,honey,extra dark chocolate,green tea
389,grated cheese,tomatoes,mineral water,meatballs,,,
390,shrimp,chocolate,water spray,,,,
391,turkey,,,,,,
392,turkey,eggs,,,,,
393,turkey,frozen vegetables,tomatoes,soup,butter,french wine,pancakes
394,spaghetti,,,,,,
395,milk,frozen smoothie,low fat yogurt,,,,
396,burgers,mineral water,milk,whole wheat rice,cereals,chocolate,french fries
397,mineral water,,,,,,
398,tomatoes,mineral water,soup,cake,chocolate,,
399,mineral water,,,,,,
400,ground beef,spaghetti,,,,,
401,pepper,frozen smoothie,,,,,
402,yogurt cake,,,,,,
403,red wine,pancakes,,,,,
404,candy bars,,,,,,
405,eggs,french fries,low fat yogurt,,,,
406,cookies,,,,,,
407,cookies,,,,,,
408,spaghetti,soup,vegetables mix,spinach,french fries,escalope,cauliflower
409,cookies,,,,,,
410,soup,olive oil,eggs,soda,corn,,
411,chocolate,frozen smoothie,low fat yogurt,,,,
412,spaghetti,mineral water,milk,pancakes,chocolate,french fries,
413,mineral water,,,,,,
414,herb & pepper,frozen vegetables,tomato sauce,mineral water,soup,milk,olive oil
415,burgers,eggs,,,,,
416,french fries,,,,,,
417,frozen smoothie,cottage cheese,,,,,
418,tomatoes,mineral water,chocolate,light mayo,,,
419,salmon,escalope,shallot,strawberries,fresh bread,low fat yogurt,
420,energy bar,,,,,,
421,red wine,ground beef,spaghetti,pancakes,blueberries,oil,cooking oil
422,ground beef,spaghetti,mineral water,milk,frozen smoothie,champagne,
423,cookies,,,,,,
424,salmon,escalope,,,,,
425,cookies,,,,,,
426,low fat yogurt,,,,,,
427,eggs,,,,,,
428,red wine,butter,hot dogs,,,,
429,tomatoes,mineral water,soup,mashed potato,,,
430,cookies,,,,,,
431,parmesan cheese,ground beef,salmon,pancakes,champagne,,
432,ground beef,yams,chocolate,olive oil,eggs,,
433,shrimp,salmon,eggs,cookies,hot dogs,,
434,magazines,mint,,,,,
435,turkey,mineral water,eggs,cooking oil,extra dark chocolate,escalope,
436,mineral water,mushroom cream sauce,,,,,
437,grated cheese,frozen vegetables,mineral water,soup,milk,french wine,
438,chocolate,cake,,,,,
439,burgers,salt,white wine,,,,
440,energy drink,,,,,,
441,olive oil,cake,energy drink,,,,
442,ground beef,whole wheat rice,,,,,
443,eggs,french fries,,,,,
444,spaghetti,escalope,mushroom cream sauce,,,,
445,mineral water,fromage blanc,whole wheat rice,cake,french fries,,
446,turkey,burgers,frozen vegetables,ground beef,mineral water,milk,eggs
447,green tea,cottage cheese,,,,,
448,fresh tuna,eggs,champagne,,,,
449,cookies,,,,,,
450,cookies,,,,,,
451,cookies,,,,,,
452,tomatoes,mineral water,eggplant,,,,
453,grated cheese,tomatoes,spaghetti,mineral water,soup,honey,chicken
454,protein bar,,,,,,
455,herb & pepper,red wine,shrimp,mineral water,barbecue sauce,protein bar,
456,burgers,ham,spaghetti,mineral water,milk,eggs,french fries
457,french fries,,,,,,
458,frozen vegetables,soup,milk,eggs,whole wheat rice,chocolate,escalope
459,spaghetti,,,,,,
460,herb & pepper,shrimp,soup,eggs,oil,cooking oil,energy drink
461,ham,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water
462,ham,red wine,ground beef,yams,mineral water,chocolate,low fat yogurt
463,chocolate,french fries,mushroom cream sauce,cottage cheese,low fat yogurt,,
464,eggs,,,,,,
465,cake,cookies,,,,,
466,grated cheese,mineral water,cake,chocolate bread,,,
467,tomatoes,almonds,cake,champagne,low fat yogurt,,
468,herb & pepper,shrimp,frozen vegetables,milk,butter,salmon,eggs
469,herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower
470,eggs,corn,,,,,
471,shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil
472,ham,herb & pepper,tomato sauce,mineral water,green grapes,eggs,gums
473,energy bar,cake,chocolate,,,,
474,herb & pepper,shrimp,spaghetti,eggs,,,
475,fresh tuna,mineral water,honey,cooking oil,,,
476,red wine,mineral water,oil,ketchup,chili,pet food,eggplant
477,herb & pepper,shrimp,mineral water,pancakes,eggs,cake,blueberries
478,ground beef,mineral water,protein bar,,,,
479,shrimp,frozen vegetables,parmesan cheese,spaghetti,salmon,carrots,frozen smoothie
480,milk,chocolate,,,,,
481,frozen vegetables,ground beef,spaghetti,olive oil,whole wheat rice,eggplant,cottage cheese
482,turkey,ground beef,low fat yogurt,,,,
483,herb & pepper,spaghetti,mineral water,whole wheat rice,cake,hot dogs,green tea
484,green tea,,,,,,
485,cookies,,,,,,
486,eggs,cookies,,,,,
487,spaghetti,eggs,ham,chocolate,french fries,champagne,brownies
488,red wine,spaghetti,milk,eggs,chocolate,,
489,turkey,burgers,pancakes,french fries,strawberries,green tea,
490,escalope,,,,,,
491,frozen vegetables,pancakes,eggs,cake,,,
492,french fries,,,,,,
493,turkey,ground beef,pepper,spaghetti,honey,cookies,
494,chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies
495,green tea,french fries,,,,,
496,mineral water,,,,,,
497,cooking oil,,,,,,
498,frozen vegetables,spaghetti,,,,,
499,ham,spaghetti,,,,,
500,chicken,chocolate,cookies,,,,
501,low fat yogurt,,,,,,
502,eggs,cake,low fat yogurt,,,,
503,shrimp,spaghetti,mineral water,soup,milk,bramble,frozen smoothie
504,mineral water,eggs,protein bar,,,,
505,turkey,shrimp,meatballs,butter,eggs,salad,green tea
506,fresh tuna,spaghetti,chocolate,olive oil,chicken,french fries,
507,turkey,shrimp,escalope,hot dogs,,,
508,burgers,pepper,soup,milk,pancakes,green tea,
509,pancakes,,,,,,
510,mineral water,pancakes,eggs,french fries,,,
511,eggs,escalope,low fat yogurt,,,,
512,mineral water,french wine,gluten free bar,,,,
513,burgers,ground beef,spaghetti,eggs,french fries,,
514,soup,meatballs,milk,energy bar,,,
515,chocolate,,,,,,
516,herb & pepper,,,,,,
517,turkey,red wine,mineral water,eggs,bramble,,
518,burgers,ham,frozen vegetables,tomatoes,cake,chicken,green tea
519,grated cheese,mineral water,olive oil,energy bar,,,
520,milk,cake,green tea,,,,
521,mineral water,almonds,cooking oil,cereals,protein bar,white wine,green tea
522,turkey,fresh tuna,mineral water,milk,eggs,cake,burger sauce
523,herb & pepper,mineral water,whole wheat rice,yogurt cake,low fat yogurt,,
524,tomatoes,spaghetti,meatballs,chicken,eggs,,
525,burgers,mineral water,eggs,green tea,pancakes,,
526,cake,green tea,,,,,
527,chocolate,herb & pepper,yogurt cake,,,,
528,ground beef,spaghetti,mineral water,almonds,salmon,nonfat milk,green grapes
529,mineral water,vegetables mix,eggs,,,,
530,protein bar,,,,,,
531,eggs,eggplant,,,,,
532,mayonnaise,,,,,,
533,milk,bug spray,oatmeal,sandwich,asparagus,,
534,frozen vegetables,soup,almonds,eggs,french fries,,
535,frozen vegetables,,,,,,
536,soup,butter,shampoo,,,,
537,herb & pepper,whole wheat pasta,pepper,eggs,,,
538,mineral water,whole wheat rice,rice,cooking oil,chocolate,fresh bread,low fat yogurt
539,grated cheese,butter,chocolate,french fries,cookies,,
540,spaghetti,soup,milk,chutney,cooking oil,asparagus,tomato juice
541,eggs,french fries,frozen smoothie,cookies,champagne,cottage cheese,green tea
542,turkey,tomatoes,mineral water,eggs,blueberries,,
543,milk,tomato juice,low fat yogurt,green tea,,,
544,mineral water,soup,almonds,cereals,green tea,,
545,chocolate,light mayo,,,,,
546,turkey,herb & pepper,chocolate,,,,
547,eggs,french fries,green tea,,,,
548,mineral water,cake,chocolate,tomato juice,,,
549,eggs,,,,,,
550,chocolate,pepper,spaghetti,mineral water,whole wheat rice,champagne,mushroom cream sauce
551,frozen vegetables,pepper,mineral water,chocolate,white wine,,
552,burgers,turkey,spaghetti,milk,whole wheat rice,oil,tomato juice
553,burgers,spaghetti,mineral water,soup,french wine,french fries,light mayo
554,butter,green grapes,frozen smoothie,low fat yogurt,,,
555,eggs,low fat yogurt,,,,,
556,cookies,,,,,,
557,milk,energy drink,,,,,
558,olive oil,energy drink,,,,,
559,eggs,cookies,,,,,
560,eggs,,,,,,
561,energy bar,eggs,,,,,
562,eggs,,,,,,
563,eggs,green tea,,,,,
564,escalope,,,,,,
565,shrimp,soup,milk,almonds,eggs,oil,chocolate
566,chocolate,french fries,,,,,
567,cake,,,,,,
568,pancakes,eggs,cake,green tea,toothpaste,,
569,herb & pepper,tomatoes,ground beef,eggs,cooking oil,,
570,cider,eggs,chocolate,low fat yogurt,,,
571,frozen vegetables,cider,eggs,french fries,,,
572,yams,cookies,toothpaste,,,,
573,mineral water,milk,escalope,champagne,hot dogs,fresh bread,
574,ham,herb & pepper,spaghetti,mineral water,chocolate,pancakes,eggs
575,pepper,mineral water,escalope,shallot,protein bar,white wine,
576,turkey,parmesan cheese,spaghetti,meatballs,butter,,
577,herb & pepper,eggs,escalope,,,,
578,herb & pepper,,,,,,
579,burgers,escalope,shallot,,,,
580,chocolate,pepper,tomato sauce,tomato juice,,,
581,cookies,,,,,,
582,burgers,ground beef,spaghetti,mineral water,escalope,melons,
583,frozen vegetables,mineral water,soup,milk,olive oil,,
584,turkey,eggs,french fries,asparagus,low fat yogurt,zucchini,
585,burgers,frozen vegetables,gums,,,,
586,herb & pepper,frozen vegetables,ground beef,milk,,,
587,frozen vegetables,cake,light cream,mashed potato,,,
588,milk,,,,,,
589,turkey,eggs,barbecue sauce,,,,
590,escalope,,,,,,
591,parmesan cheese,french fries,,,,,
592,energy bar,eggs,,,,,
593,soup,escalope,mint,,,,
594,muffins,chicken,zucchini,,,,
595,burgers,eggs,french fries,cookies,green tea,,
596,spaghetti,,,,,,
597,avocado,energy bar,chocolate,,,,
598,cookies,,,,,,
599,green tea,,,,,,
600,whole wheat pasta,spaghetti,mineral water,olive oil,,,
601,grated cheese,frozen vegetables,eggs,gums,escalope,low fat yogurt,
602,grated cheese,herb & pepper,mineral water,pancakes,chocolate,escalope,tomato juice
603,chocolate,spaghetti,yams,flax seed,salmon,frozen smoothie,
604,burger sauce,oil,,,,,
605,eggs,french fries,energy drink,,,,
606,mineral water,,,,,,
607,grated cheese,ground beef,mineral water,olive oil,,,
608,eggs,low fat yogurt,,,,,
609,parmesan cheese,spaghetti,soda,pet food,white wine,,
610,turkey,shrimp,olive oil,chicken,eggs,extra dark chocolate,melons
611,pickles,ground beef,yams,milk,strong cheese,salmon,muffins
612,pepper,spaghetti,light cream,,,,
613,frozen vegetables,mineral water,eggs,,,,
614,spaghetti,chicken,tea,pancakes,gluten free bar,,
615,fresh tuna,turkey,herb & pepper,spaghetti,mineral water,mint,
616,spaghetti,mineral water,cooking oil,escalope,,,
